Comment Date,Comment
"Nov 25, 2013, 4:02:26 PM","Nice to hear, I think that next time when I come to Malaga I will ride a little bit longer routes (and offroad) and ofcourse get to know those routes in the Natural Park. It's possible that I will come back in the next spring or  next autumn. ps. I took contact to Strava support and they thought that their elevation database is probably not accurate for that area."
"Nov 26, 2013, 2:39:16 AM","Hi P,
Is it possible you to send me a 22x28 Jersey when you have it (size XL) to Finland? I can wait for a long, because in Finland we have winter snow and ice, so not need for a Jersey until next spring.
I will leave Malaga 15.12.2013, my plan is to continue cycling with winter tyres 
http://www.bike-discount.de/shop/k1040/a87980/ice-spiker-304-spikes-21-wire.html

Best Regards 
Timo"
"Nov 26, 2013, 10:27:00 AM","Hi Pedro,
Fine, you will let me know when you get the jersey and will ask my address to Finland.
In the winter it is such cold and quite dark (extreme conditions), so my tracks are quite short and not very interesting.
In addition snow and ice make the roads quite slippery, but with the winter tyres I will do fine.
Anyway in Finland cycling is quite totally different (without the elevation/the mountains) than in Spain.

Actually I will quit ""regular"" cycling 5.12 for a while, my ""lady friend"" will come to Malaga for 6 days.
So I have holidays. By the way Finnish Independence Day is celebrated on 6.12 ;)
If weather and temperature is quite normal, I will do one a little bit longer route (possible to mountains), we'll see. If not possible then next year hopefully.

Happy cycling ;)"
"Nov 26, 2013, 4:45:56 PM","Yes I am pretty busy on December some things to do and meet some people in Fuengirola before leaving. 
Hopefully we can do together a route (also to the mountain) when I come back to Malaga and I try to be in a good condition on that time.
Most likely I will come back end of September, but I will try in the spring in May.
Thanks, I will try to enjoy the last days and especially rides on some roads of Malaga.
Keep in touch, I will send email for you and tell my ""feelings"" after first winter ride before Christmas, can't wait the winter ride, not really ;)"
"Nov 29, 2013, 8:51:47 AM","Hi rafa,
Don't worry ;) I am doing my very best right now and 2 hours maximum is optimal for me and I have had quite fast routes and roads.
In addition I have had a time to ride, I don't have work, actually I am mature student right now.
So I hope to get together offroad (and mountains), by myself I will get lost ;)
Last year at spring time I was here and had only one offroad, it was very breath-taking and hard  for me. Maybe I had too much weight after winter season;)"
"Dec 14, 2013, 7:28:34 PM","Thank you, hope to see and cycling in Malaga or in Tampere Finland ;)"
"Dec 14, 2013, 10:30:06 PM","Thanks 10.35 Norwegian flight, welcome to Tampere. To be honest riding here is musch more fun. But in winter  time it could be a new extreme experience for you, snow, ice and tempreratue 0 -30 degrees below zero. Happy riding,see/hear you ;) ps. Nice to be in a club ;)"
"Dec 19, 2013, 11:10:11 AM","Hi Pedro, quite strange feeling with the bike, bike geometry between Felt q920 2010 (Spain) and 2012 (Finland) is the same.
Ok,  the conditions with the winter tyres are the main reason for very strange feeling in the dark. Actually there is not a cold weather yet,
only few degrees below zero, not very hard to breathe. This is my 5th winter season ;) Last cycling period in Malaga was my best ever, 
but i feel now I can make even better ;)"
"Jan 10, 2014, 12:48:56 AM","Moro, käymässä Tampereella vai olitko käymässä Ranskassa? No täällä nyt ""vähän"" erilaista. Renkaat ei tahdo kestää nyt (pienessä ajassa 4 rikkoa), joten nastarenkaat alla mennään jatkossa oli keli mikä hyvänsä..."
"Jan 10, 2014, 10:09:01 AM","Ok. Joo turhaa olis ollut fillarin roudaaminen varsinkin jos/kun ei talvirenkaita, jotka mahd. kestää ""tappajasepelin"". Toissa viikolla meni samalla lenkillä 2 kumia, tosin ei ollut kuin yksi varakumi messissä...
Tänään pääsee ensilumille, taitaa kuitenkin vielä sulaa pois ennen kuin vkl pakastaa.
ps.
Sorry uteluni (kun ei ihan tavallinen kuvio ;), minkä alan duunia teet?Etätyömahdollisuus Tamperelaiseen firmaan? Vai onko tytäryhtiö Ranskassa?
Jonniin verran erilaista tuo fillariharrastus etelässä ;)
"
"Jan 14, 2014, 4:09:52 PM","No problem, actually there is not too much snow and road maintenance works quite well,  quite cold especially for fingers."
"Jan 15, 2014, 5:45:42 AM","Oli melkein arvattavissa ;) Joo olisihan se  mukava käydä paratiisissa pyöräilemässä ja vuorista pidän kyllä. Täällä on nyt ollut pari päivää aurinkoista pakkassäätä. Ei voi tehdä pitempiä vetoja kun varsinkin näpit jäätyy, pitäis hankkia toimiva ratkaisu tähän ongelmaan, ehdotuksia? Olen itsekin IT-alalla, tosin kun ei ole töitä niin opiskelen ""uusia tempppuja"" etänä, parhaillaan mobiiliohjelmointia OAMK:ssa.
Onhan tää muutenkin ala, joka vaatii jatkuvaa oppimista ja itsensä haastamista, koskaan ei ole valmis vaikka ikääkin jo alkaa olla jo kohta puoli vuosisataa (tulee 49) ;)
Pyöräily on hyvää vastapainoa, paljon muutakin kuin kuntoilua ainakin minulle.
Laita maili -osoitteesi tai vastaa omaani niin voisin kysäistä vielä noista It-duuneista, en toki mitään salaisuuksia ;) 
t. timo.laakkonen@hotmail.com"
"Jan 17, 2014, 6:43:31 PM",Fortunately a knee is well ;)
"Feb 20, 2014, 7:20:58 PM","Hi Pedro, Yes I want size XL, when and how you  want the pay 70€? I will read the mail next time on sunday now I have to go ;)"
"Mar 1, 2014, 5:59:45 PM","Hi Pedro, believe
it or not I'm getting up to speed ;) I have Polar cs600x with gps and some disoder peak has took a place, not the first time. The average speed (distance divided by time) seems to be the same as calculated from GPS data ;)  I have a plan to buy a new gps and heartrate cyclocomputer some day, can you recommend one?garmin?"
"Mar 1, 2014, 6:29:44 PM","Ok, Garmin 510 could be the next one, You are right .there is not alternative to Garmin and the model 510 could be the most reasonable and has enough features."
"Mar 20, 2014, 6:25:37 PM","Thanks, waiting for new clothes and summer weather to wear them ;) there was raining snow today.  ps. M=Manuel? ;) "
"Apr 15, 2014, 8:45:41 PM","Hi Manuel, thanks for your message, yes I would like to be included to your (team) mailing list, I hope to learn 
some Spanish, I know my english is not perfect nor good enough. Happy riding ;)... you are doing very well. Hasta luego."
"Apr 15, 2014, 8:47:06 PM","I found you to find my old ride 16.9.2013, strange or not?"
"Apr 16, 2014, 5:38:26 PM","Ok, my email:  timo.laakkonen@hotmail.com"
"May 20, 2014, 6:23:35 PM","Hi, nice to know, I will give you an address later...and you will tell me the delivering costs.."
"May 22, 2014, 7:04:34 AM","Hi, thanks. Pedro sent me email yesterday. Are you the model in the picture?"
"May 22, 2014, 3:50:59 PM","Yes, very hot top model posing this summer's fashion clothing ;)"
"May 23, 2014, 6:32:00 AM",Yes indeed ;)
"May 31, 2014, 8:44:40 PM","Congratulations, great job tough guy..."
"Jul 22, 2014, 1:10:08 PM",nätti 6-kulmio
"Aug 7, 2014, 11:49:08 AM","Joo ihan ""normipäivä"""
"Aug 9, 2014, 7:21:59 PM",http://www.iltalehti.fi/fiidifi/2014080918556783_fd.shtml
"Aug 26, 2014, 6:33:25 PM","Kiitos, jonniin verran parempaan päin menossa ;-)"
"May 7, 2015, 3:03:03 PM","En osaa sanoa vauhdista mitään, lähinnä ylä- ja alamäkeä, hyvin jaksoi, mutta oli keskityttävä kantapäihin, jotka nyt rakoilla..."
"May 20, 2015, 7:57:02 PM","Moro, vaikutat nykyään Espoossa (ja harrastat yöjuoksua/-pyöräilyä), itse täällä Churrianassa opettelen pyöräileen kun alkuvuosi meni muutaman kaatumisen jälkeen enemmän/vähemmän piloille, 9.6 takaisin Suomeen... Majatalo on nyt rauhallinen vain  muutama asukas ;) Pääasia että lepakoista ei huolta enää ;)"
"May 27, 2015, 8:16:54 PM","Varsinaista taidetta, hyvin näemmä kulkee..."
"May 27, 2015, 8:56:38 PM",No sitä sohlausta tosiaankin keskustassa ajelu on. Meinaatko ajaa saman reitin vielä joku päivä ;)
"May 27, 2015, 9:20:06 PM","Osaisitkokaan, joku voisi ihmetellä että onpa siellä varsin kiemuraisia tierakaisuja. Nyt syömään kuten maassa tapana siis myöhään ;)"
"May 27, 2015, 10:10:59 PM","No pikkuhiljaa alkaa taas kulkemaan kun saa lenkkejä alle ja rutiinia tekemiseen. Yritän vielä tällä  lyhyehköllä reissulla vältellä vertaamista  2013 syksyyn jolloin olin luultavasti ""elämäni kunnossa"". Parasta nyt on ollut se, että keskisyke on laskemaan päin eli kunto ja hapenottokyky on nousujohteista. Vasen käsikin tuntuu paremmalta kuin aikoihin."
"May 30, 2015, 2:34:49 PM",Great job
"Jun 2, 2015, 7:00:02 AM","Oli tyyntä ja tasaista, sillä suuri vaikutus, tosin keskisyke 121 kertoo sen,  että ei ollut näemmä paljoa yritystä ;) Renkaat: Continental RaceKing 2.2"
"Jun 2, 2015, 7:19:31 AM","En osaa verrata, hyviä molemmat, täällä Race ja Suomessa X."
"Jun 3, 2015, 7:52:38 PM",Mistäs tuollainen huomio/analyysi? Ihan normimeininkiä ellei liikenne ja tuuli sotke kuvioita. Kiitos kuitenkin...
"Jun 3, 2015, 7:55:55 PM","Suosittelen Polar v650. Myös Five Ten kenkiä polkimille, jotka sullakin on. Perustelen joskus myöhemmin."
"Jun 3, 2015, 8:40:17 PM","Olosuhteet hyvät (shortiskelit ;) ), paitsi sais olla vähän viileämpää, juuri ja juuri riittää 1 vesipullollinen vettä."
"Jun 27, 2015, 6:58:23 PM","Tuolla varmaan kerkee ;) Ostin minäkin uuden ""hepan"" http://2013.feltracing.com/Switzerland/2013/Mountain%2026/Six-Series/Six-2.aspx 
Piti ostaa Nine 2 mutta päädyin em. kun oli sopivasti ""halpuutettu"". Onko se sun Felt malli Nine 2 vai mikä (arvailin Tahko kuvastasi)?"
"Jun 27, 2015, 7:02:17 PM","Rankalta näyttää korkeusprofiili ja muutenkin maastopolut haastavia. Oliko lliukastakin (kurasta päätellen),? varmaan sielläkin satoi?"
"Jun 28, 2015, 2:59:01 PM","Vaikuttaa ""kärsivällisyystestiltä"" ;) En itekään juuri  maastoa ajele(vaikkakin vain maastureita omistan), hiekkateitä/-osuuksia mökin lähipiirissä ja silloin tällöin ulkoilureittejä mm. Neulaniemessä ja Puijolla. "
"Jun 28, 2015, 3:03:50 PM","Itelle tuli tänään alaselkään ""tuntemuksia"", tässä uudessa fillarissa tanko on jonniin verran alempana (myös hieman leveämpi), geometria siis hieman  erilainen kuin mihin olen tottunut Q920 mallissa."
"Jul 1, 2015, 8:41:32 PM","Kävin testaan lähiympäristön hiekkateitä, ihan mukava oli ajaa vaiheteeksi kun ei oltu levitetty soraa ainakaan vielä, Nine 2 olis varmaan ihan sopiva peli noille, cyclocrosseista ei mitään tietoa/kokemusta, mulle maasturi juurikin oikea valinta, 29er on varmaan seuraava hankinta (sitten joskus tulevaisuudessa mikäli vielä pyöräily kuvioissa)."
"Aug 25, 2015, 4:39:28 PM","Kova suoritus maasturilla, mutta laiska sydän kun keskisyke vain 105 ;)"
"Sep 25, 2015, 9:24:21 PM",Thank you Pedro.
"Oct 4, 2015, 12:48:08 PM","Mites polvi? Itellä pikku vaivoja, alkaa onneksi helpottaan..."
"Oct 9, 2015, 6:23:25 PM","Totta, ""eksoottinen"" reitinvalinta?"
"Oct 10, 2015, 2:36:30 PM",Hyvä 
"Oct 14, 2015, 8:23:48 PM",No kävikö köpelösti? mustaa jäätä ja kesärenkaat?
"Oct 14, 2015, 8:24:31 PM",Saat siitä hyvästä kudoksen ;)
"Oct 15, 2015, 1:04:36 PM","Vois luulla että harrastat pyöräsuunnistusta umpimetsässä, mutta varmaan etukäteen suunniteltu reitti..."
"Oct 15, 2015, 1:06:28 PM",Onneksi pienet ruhjeet ei menoa haittaa...
"Oct 15, 2015, 2:15:04 PM","Kävitkö ""nuotittamassa""? Oliko liukasta? Mitkä renkaat sulla noilla metsäpoluilla?"
"Oct 21, 2015, 6:53:15 AM","No joo vahingossa tuli ""normaalia"" pidempi lenkki, ei ollut suunnitelmissa."
"Oct 22, 2015, 6:36:52 PM","Keskisykkeestä päätellen ei niinkään kova, tosin tuli vähän ylimääräistä suunnittelematonta hiekkatieajoa kun missasin yhden kääntymisen."
"Oct 22, 2015, 7:11:04 PM","Huonoo tuuria, tilastokaatumisia, poikkeuksellista kun itellä ei ole tänä vuonna ollut ""rengasongelmia"". Pitääkö jo vaihtaa"
"Oct 22, 2015, 7:11:36 PM",nastarenkaat?
"Oct 22, 2015, 7:30:47 PM","Samoja kun ennenkin, x-kingeillä ajanut eri olosuhteissa ja alustoilla, 0 kaatumista koskaan. Kokeile vaikka Race Kingejä. Ootko ajetellut 2.4 leveitä?"
"Oct 22, 2015, 7:54:51 PM","Joo sisäkumit isommat, kannattaa nekin tilata netistä, usein ""halpuutettu"". Paino vissiin suhteessa hintaan, fold taittuu pieneen tilaan, wire ei."
"Oct 23, 2015, 7:35:18 PM","Pyydän, koska pääset tuleen? ens kuun 18 paluu Tesomalle, joten sitä ennen bienvenidos viivalle. Mietin viikonlopun ostanko uudet kiekot, tehtiin tarjous. Takakiekko akselissa ylimääräistä kitkaa, alkaa olla kilometrit täynnä.
 Laitan kohta meiliä."
"Oct 23, 2015, 7:46:29 PM","Siis millainen, teitkö kuperkeikkoja tms.? Onko siellä säkkipimeetä?"
"Oct 28, 2015, 9:07:48 PM","No joo, ei ihan vielä, 2013 oli 65 päivää putkeen keskimäärin 55km päivässä. Jalat oli tänään vähän makaroonia, muuta"
"Oct 28, 2015, 9:10:24 PM","Alhauron el Grandessa ampiainen pisti sisäreiteen, vieläkin kippee. Eilen testasin uusia kiekkoja, 3,8km niin ketjut katkes, kiitti silti kudoksesta, olin saanut tuosta mahtavasta suorituksesta 2 kudosta, aika hyvin "
"Oct 30, 2015, 3:21:31 PM","Joo ihan jees, meinaatkos vielä joskus ajaa sen? "
"Oct 30, 2015, 3:55:01 PM","Jospa samaan aikaan. Vähän lisäaikaa tolle fillarille, uudet kiekot tuli ostettua, nyt tilaukseen ketjut ja pakka, laitan mailia kohta, yx kysymys."
"Nov 10, 2015, 2:36:28 PM",Oho ;)
"Nov 10, 2015, 4:43:03 PM","Testasin uusia osia erittäin tutulla reitillä, toimii."
"Nov 10, 2015, 6:37:38 PM","Uudet osat olivat voimansiirtoon (ilman vaihtajia)... nyt ""normaalia"" suuremmat rattaat edessä (Teeth: 48 36 26)"
"Nov 10, 2015, 6:49:45 PM","Niin vähän ajattelin kun tilasin, mutta en ainakaan tänään kaivannut ""supervaihdetta"", edelliset välitykset oli kyllä ihan ok."
"Nov 10, 2015, 7:14:11 PM","No, joo. Itsesuojeluvaisto toimii vielä ja jarrujen käyttökin sallittua, nopeusrajoituksiakin noudatetaan ;)"
"Nov 11, 2015, 5:18:12 PM",Kudos siitä ;)
"Nov 11, 2015, 8:15:14 PM","Ihan mukavasti meni, ""sykekin pysyi hyvissä rajoissa vaikkakin nousua oli ""riittävästi"". Almogia on kylä 400m korkeudessa.
Takarengas oli taas jotenkin oudon epävakaa verrattuna edellisiin Malagan reissuihin."
"Nov 11, 2015, 9:39:51 PM","Taitaa olla kumit entiset, vaikkakin hyvin kuviota vielä jäljellä, ostettu n. 2 vuotta sitten, ajettu n. 4500km. En keksi muuta syytä."
"Nov 11, 2015, 10:05:34 PM","Oli joo... ""vanhat"" kumit ei vaan toimi mun käsittelyssä ;) vaihdoin ne päikseenkin, sama juttu että n. 20 km jälkeen tuntuu oudolta."
"Nov 11, 2015, 10:49:08 PM",Continental Race King 2.2 wired
"Nov 11, 2015, 11:07:46 PM","Öitä, täällä ei vielä nukkumaan klo vasta puolenyön..."
"Nov 15, 2015, 7:38:56 PM","Hola, päätavoite saavutettu. Ehkä paras suoritus koskaan. Noin korkealla ei ole tullut koskaan pyöräiltyä/käytyä eikä noin paljon nousu metrejä. Muuten meni mukavasti mutta Casamermejassa oli reitti hukassa, huonosti informoitu. Päätin sitten mennä Almogian kautta mutta tulin järkiini ja palasin hakemaan suunniteltua reittiä.
Yllättävän hyvissä voimissa vielä, mutta en nyt lähtis uudestaan ;)"
"Jan 9, 2016, 9:56:19 AM","Joo, käsille uusi ""virirys""..."
"Jan 9, 2016, 10:42:38 AM","Parempi sit olla sisällä ja ""nostella puntteja"", ulkona pieni tupakkilenkki..."
"Jan 9, 2016, 5:09:45 PM","No joo, ihan kohtuullinen moottori..."
"Mar 11, 2016, 4:57:03 PM",Mut periks ei annata vaik tekköö kipiää
"Mar 20, 2016, 4:24:56 PM","Joo ei, tahmeeta menoo..."
"Apr 27, 2016, 6:21:48 PM","Melkoosen hyvä ja pitkä suoritus, kudoksen arvoinen..."
"Jun 24, 2016, 2:45:17 PM",Haaskaa Jussia Kuopiosta
"Feb 6, 2017, 7:50:17 PM",Onnex vaan mittarista...
"Feb 11, 2017, 11:38:58 PM",Cold? We had only minus 9℃ & snow 😊
"Feb 12, 2017, 4:57:57 PM",Es correcto 😉
"Feb 14, 2017, 7:49:09 PM",Wau...
"Feb 21, 2017, 6:44:47 PM",Ei ole uusia osia vielä paikoillaan...
"Jun 8, 2017, 5:02:42 AM","Hola, no hablo español, vale usted tiene siempre más caliente que nosotros. En el invierno tengo cubierta de invierno.
http://www.chainreactioncycles.com/es/es/cubierta-de-invierno-schwalbe-ice-spiker-pro-raceguard/rp-prod123204"
"Jun 18, 2017, 7:35:04 PM","En uskonut olevan edes mahdollista, kudoksen arvoinen suoritus..."
"Mar 29, 2018, 6:31:11 PM","Si, está muy caliente..."
"Jun 4, 2018, 3:58:38 PM",Hyvä veto...
"Aug 9, 2018, 4:59:35 PM","Hola, Proximo ano con suerte. (no hablo espanol, lo siento)"
"Dec 23, 2018, 8:51:59 PM","-18.3°C right now, the only way to keep warm is cycling ;)"
"Feb 2, 2019, 7:05:05 PM",No muy caliente ;)
"Apr 27, 2019, 1:44:02 PM","Syksymmällä voisin ottaa osaa Kallaveden kierrokselle, pitää ""ehkä"" vielä treenata pitemmän matkan kärsivällisyyttä ;)"
"Mar 2, 2020, 9:16:15 PM","Pretty normal weather, winter is back"
"Mar 2, 2020, 9:43:40 PM","Pretty normal winter temperature, more than -10°C feelIng ""a little bit"" cold"
"Mar 22, 2020, 12:59:16 AM",Muy rapido...
"Mar 22, 2020, 1:22:35 AM","
We don't have restrictions at this point of situation yet, but citizens age of 70 or more (the high risk group) has some recommendations to stay in."
"Apr 2, 2020, 1:43:51 PM","I will be fine and the bike too, right knee and elbow are sore, mostly mental injury ;)  ps. there was some ice by accident"
"Aug 1, 2020, 7:54:08 PM","Ei huono, kohtuullinen hintalaatusuhde..."
"Aug 24, 2020, 5:33:06 PM","Kova veto, millä fillarilla?"
"Aug 25, 2020, 3:58:55 PM",Ok
"Jun 20, 2021, 1:30:55 PM",How are you?
"Jul 11, 2021, 5:05:21 PM","Extraordinary,  feels like Spain ;)"
"Nov 28, 2021, 8:31:06 PM","Hi, it's pretty normal for us at winter season, clothing issue, but fingers are the weakest link, feet second...."
"Dec 5, 2021, 8:44:19 PM",My fingers agree...
"Dec 6, 2021, 6:38:00 PM","I also need new mittens, but still challenging to keep fingers warm under -10 degrees. Have you any tricks/patents?"
"Jan 6, 2022, 5:07:56 PM","Thanks, but which corrector?"
"Jul 17, 2022, 12:35:27 AM","Welcome here especially at winter season (you will get familiar with minus degrees, snow, ice), let me know when you have arrived ;)"
"Jul 17, 2022, 11:21:54 AM","Yep,  cycling is one way to stay warm in winter.
This looks fun
https://www.youtube.com/watch?v=XVzSRWs9en4"
